id,description,items
40,"Пластины 1x1",3024 15573 87580
41,"Пластины 1x2",3023
42,"Пластины 1x3",3623 2420
43,"Пластины 1x4",3710
44,"Пластины специальные",32028 92593
45,"Пластины/бруски с петлей",2429 3830-3831
46,"Пластины 2х2",3022 3176
47,"Пластины 2х3",3021
48,"Пластины 2х4",8200
49,"Пластины 2х4",8200
50,"Бруски 1х1",3005
51,"Бруски закругленные и косые 1х1",6091 92946
52,"Бруски 1х2",3004
53,"Бруски 1х2",3004 2877
54,"Бруски с текстурой",98283 30136
55,"Бруски 1х3",3622
56,"Бруски угловые",2357
57,"Бруски дугой",87620
58,"Бруски с шпильками (<3)",4733 11211
59,"Бруски с шпильками (>3)",30414 22885
60,"Пластины с шпильками",99206 52038
61,"Кронштейны мелкие",99781
62,"Кронштейны средние",86644
63,"Кронштейны крупные и лестницы",2436 4175
64,"Пластины с ручками для клипс",48336 92692
65,"Бруски с ручками для клипс",30236
66,"Пластины с клипсами",6019 60470
67,"Бруски с клипсами",60475
68,"Прочие мелкие детали с клипсами",93794 92280 11090
69,"Детали с ручками и поворотные механизмы",4081 2921 3937-6134
70,"Пластины 1х6 и более",3666
71,"Бруски 1х4 1х6",3010
72,"Бруски 1х8 и более",3008
73,"Пластины 2х6 2х8",3795
74,"Пластины 2х10 и более",3832
75,"Бруски 2х2 2х3",3003
76,"Плитки с клипсами и сложной формы",2335 64799
77,"Бруски высокие и мелкие панели",14716 4864 3245
78,"Бруски 2х4 и более",3001
