id,description,items
01,"Штырьки короткие",4274 32002 3673
02,"Штырьки средние",3673
03,"Штырьки длинные",32556
04,"Штырьки с втулкой под ось",32054
05,"Штырьки с осями",18651
06,"Штырьки с втулками",87082 32138
07,"Соединители 2х2",32291 41678 92907
08,"Соединители 2x1 3х1",6536 32068
09,"Оси с втулками, соединители 3х1",10197 32184
10,"Оси короткие",3704
11,"Оси длинные и катушки",3705 2585
12,"Оси с ограничителями",6587
13,"Детали с штырьками",4730
14,"Амортизаторы, тяги и рули",30397 30663
15,"Шарниры",6628 57515
16,"Втулки трубчатые",62462 18654 59443
17,"Соединители трубчатые",32034 32014
18,"Втулки под оси",32123 45590 32039
19,"Балки плоские с дополнениями",33299 2712
20,"Бруски и пластины с петлями",44567 30365
21,"Цилиндры с петлями, поворотные разъемы",30552 30553 47455
22,"Двигатель поршневой",2850 2851 2853
23,"Пластины с отверстиями и скобы",18671 3709
24,"Пластины с втулками",10247 2376
25,"Балки плоские прямые",32449
26,"Балки плоские изогнутые",32249
27,"Балки прямые короткие (<6)",32523
28,"Бруски с одним отверстием",6541 32064
29,"Пластины и бруски круглые с отв.",4032 3941
30,"Стержни и шланги",4599 87618
31,"Балки прямые длинные (>5)",32316
32,"Бруски с отверстиями (>1)",3701
33,"Прутья, винты, ковши",6041 6140 
34,"Балки с тупым углом",32348
35,"Диски, шкивы и ремни",4185 57520 85543
36,"Шестерни, рейки, муфты",94925 3743
37,"Балки с прямым углом",32140
38,"Панели обтекатели",87080
39,"Панели симметричные и крупные шарниры",64276 24119
